Epic ID,Epic Name,Story ID,Story Name,Test Scenario ID,Description,Pre-condition,Test Case ID,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Remarks
EP-01,Auth API Testing,ST-AUTH-01,Auth Service Health & Availability,TS-AUTH-01,Auth API Health Check,Auth service is running on port 9000,TC-AUTH-001,"1. Send GET /health
2. Inspect response status and body",No payload required,"Status 200 | Body: {status:'healthy', service:'auth-api', port:9000}",,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-02,Register new user successfully,Auth service running; email does not exist in DB,TC-AUTH-002,"1. Generate unique email (uuid)
2. POST /auth/register with full valid payload
3. Inspect response",email: api_test_<uuid>@luxe-test.dev | password: TestPass@99 | first_name: ApiTest | last_name: User | phone: +10000000000,"Status 201 | Response contains access_token (non-empty) | token_type = 'bearer' | user object with email, first_name, last_name, id",,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-03,Register with duplicate email,A user with the test email is already registered,TC-AUTH-003,"1. POST /auth/register using an already-registered email
2. Inspect response",email: (existing registered email) | password: TestPass@99 | first_name: ApiTest | last_name: User,Status 400 | detail: 'Email already registered',,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-04,Register — missing email field,Auth service is running,TC-AUTH-004,"1. POST /auth/register with email field omitted
2. Inspect response",password: TestPass@99 | first_name: ApiTest | last_name: User,Status 422 | FastAPI validation error body,,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-05,Register — missing password field,Auth service is running,TC-AUTH-005,"1. POST /auth/register with password field omitted
2. Inspect response",email: new_user@luxe-test.dev | first_name: ApiTest | last_name: User,Status 422 | FastAPI validation error body,,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-06,Register — missing first_name field,Auth service is running,TC-AUTH-006,"1. POST /auth/register with first_name field omitted
2. Inspect response",email: new_user@luxe-test.dev | password: TestPass@99 | last_name: User,Status 422 | FastAPI validation error body,,,
EP-01,Auth API Testing,ST-AUTH-02,User Registration,TS-AUTH-07,Register — invalid email format,Auth service is running,TC-AUTH-007,"1. POST /auth/register with malformed email
2. Inspect response",email: not-an-email | password: TestPass@99 | first_name: ApiTest | last_name: User,Status 422 | EmailStr validation error,,,
EP-01,Auth API Testing,ST-AUTH-03,User Login,TS-AUTH-08,Login with valid credentials,Test user is registered (api_test_user fixture),TC-AUTH-008,"1. POST /auth/login with valid credentials
2. Inspect response",email: api_test_user['email'] | password: TestPass@99,Status 200 | access_token is non-empty string | user.email matches registered email,,,
EP-01,Auth API Testing,ST-AUTH-03,User Login,TS-AUTH-09,Login with wrong password,Test user is registered,TC-AUTH-009,"1. POST /auth/login with correct email but wrong password
2. Inspect response",email: api_test_user['email'] | password: WrongPassword@1,Status 401 | detail: 'Invalid email or password',,,
EP-01,Auth API Testing,ST-AUTH-03,User Login,TS-AUTH-10,Login with non-existent email,Auth service is running,TC-AUTH-010,"1. POST /auth/login with unregistered email
2. Inspect response",email: nobody@luxe-test.dev | password: TestPass@99,Status 401 | detail: 'Invalid email or password',,,
EP-01,Auth API Testing,ST-AUTH-03,User Login,TS-AUTH-11,Login with empty credentials,Auth service is running,TC-AUTH-011,"1. POST /auth/login with empty strings for both fields
2. Inspect response",email: '' | password: '',Status 401 or 422 | (EmailStr rejects empty string or logic returns 401),,,
EP-01,Auth API Testing,ST-AUTH-04,Profile Management,TS-AUTH-12,GET /me with valid token,Test user registered; valid access_token available,TC-AUTH-012,"1. GET /auth/me with Authorization: Bearer {token}
2. Inspect response",Header: Authorization: Bearer <valid_token>,Status 200 | email matches registered user | id matches api_test_user['user_id'],,,
EP-01,Auth API Testing,ST-AUTH-04,Profile Management,TS-AUTH-13,GET /me with no token,Auth service is running,TC-AUTH-013,"1. GET /auth/me with no Authorization header
2. Inspect response",No Authorization header,Status 401,,,
EP-01,Auth API Testing,ST-AUTH-04,Profile Management,TS-AUTH-14,GET /me with invalid token,Auth service is running,TC-AUTH-014,"1. GET /auth/me with malformed Bearer token
2. Inspect response",Header: Authorization: Bearer totally.invalid.token,Status 401,,,
EP-01,Auth API Testing,ST-AUTH-04,Profile Management,TS-AUTH-15,Update profile successfully,Test user registered; valid token available,TC-AUTH-015,"1. PUT /auth/profile with Bearer token and updated fields
2. Inspect response","Header: Authorization: Bearer <valid_token> | Body: {first_name:'Updated', phone:'+19999999999'}",Status 200 | first_name = 'Updated' | phone = '+19999999999',,,
EP-01,Auth API Testing,ST-AUTH-04,Profile Management,TS-AUTH-16,Update profile with no token,Auth service is running,TC-AUTH-016,"1. PUT /auth/profile with no Authorization header
2. Inspect response",No Authorization header | Body: {first_name:'Updated'},Status 401,,,
EP-02,Airlines API Testing,ST-AIR-01,Airlines Service Health & Availability,TS-AIR-01,Airlines API health check,Airlines service is running on port 9001,TC-AIR-001,"1. Send GET /health
2. Inspect response status and body",No payload required,Status 200 | Body contains service: 'airlines-api',,,
EP-02,Airlines API Testing,ST-AIR-02,Airport Management,TS-AIR-02,List all airports,Airlines service running; airports seeded in DB,TC-AIR-002,"1. GET /airports
2. Inspect response",No payload required,"Status 200 | Response is a list | len >= 1 | Each item has: id, iata_code, name, city, country",,,
